Token ID,Name,Status,Legend,Background,Background Points,Skin,Skin Points,Type,Type Points,Body,Body Points,Mouth,Mouth Points,Eyes,Eyes Points,Head,Head Points,Special,Special Points,Trait Subtotal,Collection Score,Status Bonus,Total UglyPoints,Overall Rank,Collection Rank,Scoring Tier
14,Squig #14,OG,,Grey,60,Zombie,100,Zombie,110,Green White Polo,90,Neutral,65,Bionic,80,Green Ugly Cap,85,Multi Earring,25,615,615,200,815,220,658,OG
15,Squig #15,OG,,Green Portal,80,Gold,105,Squig,75,Fisherman Multi,95,Open,70,Triple Lashes,65,Yellow Punk,85,Blunt,40,615,615,200,815,220,658,OG
16,Squig #16,OG,,Grey Splash,70,Brown,70,Squig,75,White Tee,85,Neutral,65,Angry Triple,75,Brown Pigtails,95,None,0,535,535,200,735,1176,4092,OG
17,Squig #17,OG,,Yellow Boom,70,Brown,70,Squig,75,Ugly Varsity Purple,95,Afraid,70,Surgery,85,Green Mountie,105,None,0,570,570,200,770,718,2450,OG
18,Squig #18,OG,,Grey,60,Brown,70,Squig,75,Yellow Pink Polo,85,Neutral,65,Angry Cyclops,70,Flower Hat,110,None,0,535,535,200,735,1176,4092,OG
19,Squig #19,OG,,Pink Portal,80,Dark Brown,70,Squig,75,Black Tank,80,Sad,70,Angry Triple,75,Green Ugly Cap,85,None,0,535,535,200,735,1176,4092,OG
20,Squig #20,OG,,Pink,60,Brown Elf,80,Squig Elf,80,Black Tee,85,Oh,70,Angry Cyclops,70,Lobby,110,None,0,555,555,200,755,933,3233,OG
21,Squig #21,OG,,Green,60,Dark Brown,70,Squig,75,Blue Surf Lycra,90,Toothless,75,Angry Cyclops,70,Blonde Hair Bandana,90,None,0,530,530,200,730,1225,4255,OG
22,Squig #22,OG,,Yellow Splash,70,Brown,70,Squig,75,White Bralette,90,Neutral,65,Triple,65,Jason,130,None,0,565,565,200,765,778,2713,OG
23,Squig #23,OG,,Yellow,60,Dark Brown Elf,80,Squig Elf,80,Born Ugly Tee,85,Toothless,75,Bionic Lashes,80,Grey Boom Bucket,105,None,0,565,565,200,765,778,2713,OG
24,Squig #24,OG,,Purple Portal,80,Beige,70,Squig,75,White Tee Red Bandana,90,Gold Digger,100,Anger Cyclops,75,Dennis Pink,105,Multi Earring,25,620,620,200,820,183,517,OG
25,Squig #25,OG,,Yellow Boom,70,Beige Elf,80,Squig Elf,80,Green Tee,85,Afraid,70,Angry Cyclops Lashes,75,Green Ugly Cap,85,None,0,545,545,200,745,1066,3709,OG
26,Squig #26,OG,,Orange Portal,80,Dark Brown Elf,80,Squig Elf,80,Born Ugly Tank,90,Sad,70,Bionic Lashes,80,Proud To Be Ugly,115,Green Laser,50,645,645,200,845,63,145,OG
27,Squig #27,OG,,Yellow Splash,70,Brown,70,Squig,75,Jedi,100,Open,70,Angry Triple Lashes,75,Purple Punk,90,None,0,550,550,200,750,1004,3487,OG
28,Squig #28,OG,,Green Boom,70,Purple,80,Squig,75,Beige Jacket,90,Open,70,Cyclops Lashes,65,Basketball,115,None,0,565,565,200,765,778,2713,OG
29,Squig #29,OG,,Pink Boom,70,Dark Brown,70,Squig,75,Cowboy Red,90,Smile,70,Cyclops Lashes,65,Green Cap,90,None,0,530,530,200,730,1225,4255,OG
30,Squig #30,OG,,Green Boom,70,Brown,70,Squig,75,Pink Jacket,90,Tape,90,Angry Cyclops Lashes,75,Ice Cream,110,Gold Earring,20,600,600,200,800,356,1127,OG
31,Squig #31,OG,,Pink Portal,80,Brown,70,Squig,75,Flowers Shirt,95,Neutral,65,Angry Cyclops,70,Bow,90,Nouns Glasses,45,590,590,200,790,471,1522,OG
32,Squig #32,OG,,Purple Splash,70,Dark Brown Elf,80,Squig Elf,80,Flowers Overalls,95,Sad,70,Angry Cyclops,70,Fast Food Visor,115,None,0,580,580,200,780,575,1928,OG
33,Squig #33,OG,,Pink,60,Purple Elf,85,Squig Elf,80,Black Tank,80,Open,70,Angry Triple Lashes,75,Bow,90,Ugly Necklace,40,580,580,200,780,575,1928,OG
34,Squig #34,OG,,Yellow Portal,85,Amphibian Red,105,Amphibian,110,White Tank,80,Open,70,Sleepy Triple,75,White Bowl,95,None,0,620,620,200,820,183,517,OG
35,Squig #35,OG,,Yellow Boom,70,Beige Elf,80,Squig Elf,80,Ugly Hockey Jersey,100,Neutral,65,Angry Cyclops Lashes,75,Blonde Hair Bandana,90,Parakeet,45,605,605,200,805,303,962,OG
36,Squig #36,OG,,Purple,60,Purple Elf,85,Squig Elf,80,Blue Puffy,90,Tongue,80,Angry Triple Lashes,75,Skate Pink,110,None,0,580,580,200,780,575,1928,OG
37,Squig #37,OG,,Grey Portal,80,Zombie,100,Zombie,110,Ugly Tracksuit,100,Gold Giant Tongue,100,Surgery Lashes,85,Ski Goggles,110,Gold Earring,20,705,705,200,905,32,33,OG
38,Squig #38,OG,,Yellow Boom,70,Beige Elf,80,Squig Elf,80,Blue Tracksuit,90,Smile,70,Cyclops,65,Black Cap,90,None,0,545,545,200,745,1066,3709,OG
39,Squig #39,OG,,Pink,60,Purple Elf,85,Squig Elf,80,Multi Overalls,90,Mustache,85,Triple,65,Yellow Punk,85,None,0,550,550,200,750,1004,3487,OG
40,Squig #40,OG,,Grey Splash,70,Robot,105,Robot,120,Chain,95,Open,70,Triple Lashes,65,Pink Bowl,85,None,0,610,610,200,810,269,810,OG
41,Squig #41,OG,,Yellow Portal,85,Green Elf,85,Squig Elf,80,Green Polo,90,Sad,70,Cyclops Lashes,65,Green Ugly Cap,85,Gold Earring,20,580,580,200,780,575,1928,OG
42,Squig #42,OG,,Green,60,Zombie,100,Zombie,110,Varsity Green,95,Gold Giant Tongue,100,Cyclops,65,Crown,110,None,0,640,640,200,840,76,194,OG
43,Squig #43,OG,,Orange Splash,70,Dark Brown,70,Squig,75,Yellow Puffy,90,Blue Tongue,85,Surgery,85,Blonde Hair Bandana,90,None,0,565,565,200,765,778,2713,OG
44,Squig #44,OG,,Green Boom,70,Green Elf,85,Squig Elf,80,Varsity Green,95,Oh,70,Surgery,85,Brown Hair Bandana,95,None,0,580,580,200,780,575,1928,OG
45,Squig #45,OG,,Pink,60,Green Elf,85,Squig Elf,80,Ugly Varsity Purple,95,Afraid,70,Cyclops Lashes,65,Black Cap,90,Dino,45,590,590,200,790,471,1522,OG
46,Squig #46,OG,,Green Boom,70,Crystal,110,Squig,75,White Tee,85,Duck,95,Triple Lashes,65,Blonde Pigtails,95,None,0,595,595,200,795,413,1327,OG
47,Squig #47,OG,,Yellow,60,Brown,70,Squig,75,Green Polo,90,Neutral,65,Bionic,80,Yellow Punk,85,None,0,525,525,200,725,1244,4335,OG
48,Squig #48,OG,,Yellow Boom,70,Purple,80,Squig,75,Blue Puffy,90,Smile,70,Surgery,85,Blue Ugly Cap,95,None,0,565,565,200,765,778,2713,OG
49,Squig #49,OG,,Yellow Splash,70,Green,80,Squig,75,Flame Sweat,95,Smile,70,Cyclops Lashes,65,Purr Paw,110,None,0,565,565,200,765,778,2713,OG
50,Squig #50,OG,,Grey Portal,80,Purple,80,Squig,75,Born Ugly Tank,90,Oh,70,Angry Cyclops,70,Pink Cowboy,100,None,0,565,565,200,765,778,2713,OG
51,Squig #51,OG,,Orange,60,Green Elf,85,Squig Elf,80,Beavis Tee,105,Duck,95,Triple Lashes,65,Yellow Punk,85,Gold Earring,20,595,595,200,795,413,1327,OG
52,Squig #52,OG,,Purple,60,Beige Elf,80,Squig Elf,80,White Tee,85,Neutral,65,Sleepy Triple,75,Blue Ugly Cap,95,Gold Earring,20,560,560,200,760,856,2969,OG
53,Squig #53,OG,,Light Blue Boom,70,Beige Elf,80,Squig Elf,80,Flowers Overalls,95,Giant Tongue,90,Angry Cyclops,70,Purr Paw,110,None,0,595,595,200,795,413,1327,OG
54,Squig #54,OG,,Light Blue Boom,70,Brown,70,Squig,75,White Sweat,90,Ball Gag,100,Triple Lashes,65,Mountie,95,None,0,565,565,200,765,778,2713,OG
55,Squig #55,OG,,Green,60,Amphibian Purple,105,Amphibian,110,Pink Surf Lycra,90,Afraid,70,Angry Triple,75,Green Ugly Cap,85,None,0,595,595,200,795,413,1327,OG
56,Squig #56,OG,,Purple,60,Purple,80,Squig,75,Flowers Overalls,95,Sad,70,Triple Lashes,65,Green Beanie,90,Weed Necklace,40,575,575,200,775,650,2189,OG
57,Squig #57,OG,,Green,60,Green,80,Squig,75,Black Tee,85,Afraid,70,Angry Triple,75,Batmask,130,None,0,575,575,200,775,650,2189,OG
58,Squig #58,OG,,Yellow Portal,85,Dark Brown Elf,80,Squig Elf,80,Black Sweat,80,Ugly Candy,105,Cyclops Lashes,65,Bald,95,Weed Necklace,40,630,630,200,830,121,321,OG
59,Squig #59,OG,,Sky,80,Beige Elf,80,Squig Elf,80,Yellow Pink Polo,85,Duck,95,Bionic Lashes,80,Yellow Bowl,85,None,0,585,585,200,785,522,1724,OG
60,Squig #60,OG,,Sky,80,Dark Brown,70,Squig,75,Flowers Overalls,95,Sad,70,Sleepy Triple,75,Green Cap,90,None,0,555,555,200,755,933,3233,OG
61,Squig #61,OG,,Grey,60,Zombie,100,Zombie,110,Black Tee Yellow Bandana,90,Sewn,90,Triple Lashes,65,Mono Pigtail,105,None,0,620,620,200,820,183,517,OG
62,Squig #62,OG,,Purple Splash,70,Beige Elf,80,Squig Elf,80,Butthead Tee,115,Open,70,Cyclops Lashes,65,Pink Beanie,95,Gold Earring,20,595,595,200,795,413,1327,OG
63,Squig #63,OG,,Purple Boom,70,Beige,70,Squig,75,Varsity Green,95,Oh,70,Triple Lashes,65,Pink Ugly Cap,95,None,0,540,540,200,740,1131,3927,OG
64,Squig #64,OG,,Light Blue Boom,70,Brown,70,Squig,75,Prison,90,Afraid,70,Triple,65,Butthead Hair,135,None,0,575,575,200,775,650,2189,OG
65,Squig #65,OG,,Yellow Splash,70,Brown Elf,80,Squig Elf,80,Cowboy Red,90,Giant Tongue,90,Triple Lashes,65,Ugly Pale Ale,105,None,0,580,580,200,780,575,1928,OG
66,Squig #66,OG,,Orange Boom,70,Zombie,100,Zombie,110,Purple Transparent Shirt,100,Neutral,65,Triple,65,Butthead Hair,135,None,0,645,645,200,845,63,145,OG
67,Squig #67,OG,,Purple Splash,70,Amphibian Purple,105,Amphibian,110,Iridescent Bralette,105,Neutral,65,Sleepy Triple,75,Black Backwards Cap,95,None,0,625,625,200,825,143,403,OG
68,Squig #68,OG,,Purple Splash,70,Green,80,Squig,75,Purple Hoodie,85,Sad,70,Triple,65,Lemon Sunhat,105,None,0,550,550,200,750,1004,3487,OG
69,Squig #69,OG,Cornhuglyio,,0,,0,,0,,0,,0,,0,,0,,0,0,1000,200,1200,1,1,OG Legendary
70,Squig #70,OG,,Grey Portal,80,Purple,80,Squig,75,Blue Tracksuit,90,Toothless,75,Angry Triple,75,Pirate,115,None,0,590,590,200,790,471,1522,OG
71,Squig #71,OG,,Yellow Splash,70,Beige Elf,80,Squig Elf,80,Cowboy Green,100,Tongue,80,Triple Lashes,65,Ski Goggles,110,None,0,585,585,200,785,522,1724,OG
72,Squig #72,OG,,Grey Portal,80,Green,80,Squig,75,Blue Puffy,90,Open,70,Triple,65,Pomade,110,Gold Earring,20,590,590,200,790,471,1522,OG
73,Squig #73,OG,,Yellow Splash,70,Beige Elf,80,Squig Elf,80,Fast Food Hoodie,105,Sad,70,Triple Lashes,65,Mono Pigtail,105,None,0,575,575,200,775,650,2189,OG
74,Squig #74,OG,,Green Splash,70,Green,80,Squig,75,White Sweat,90,Toothless,75,Suspect Cyclops,80,Ice Cream,110,None,0,580,580,200,780,575,1928,OG
75,Squig #75,OG,,Green,60,Brown Elf,80,Squig Elf,80,Naked,90,Afraid,70,Triple,65,'67 Hockey Helmet,130,Laser Tits,65,640,640,200,840,76,194,OG
76,Squig #76,OG,,Grey Splash,70,Green,80,Squig,75,Blue Overalls,90,Ugly Candy,105,Angry Triple,75,Dennis Pink,105,None,0,600,600,200,800,356,1127,OG
77,Squig #77,OG,,Orange Boom,70,Green,80,Squig,75,Blue Puffy,90,Oh,70,Angry Cyclops,70,Watermelon Bucket,110,None,0,565,565,200,765,778,2713,OG
78,Squig #78,OG,,Grey Splash,70,Brown,70,Squig,75,Black Tank,80,Open,70,Suspect Cyclops,80,Pink Sunhat,90,Smile Necklace,30,565,565,200,765,778,2713,OG
79,Squig #79,OG,,Light Blue Splash,70,Purple Elf,85,Squig Elf,80,Fastfood Shirt,100,Mustache,85,Triple,65,Brain Bucket,110,Parakeet,45,640,640,200,840,76,194,OG
80,Squig #80,OG,,Purple Boom,70,Brown,70,Squig,75,Borat,105,Oh,70,Bionic Lashes,80,Pink Ugly Cap,95,Yellow Laser,55,620,620,200,820,183,517,OG
81,Squig #81,OG,,Light Blue,60,Purple,80,Squig,75,Super Ugly,110,Sad,70,Angry Triple Lashes,75,3D,110,None,0,580,580,200,780,575,1928,OG
82,Squig #82,OG,,Orange,60,Beige Elf,80,Squig Elf,80,Fastfood Shirt,100,Open,70,Angry Triple,75,Black Cap,90,Monocle,40,595,595,200,795,413,1327,OG
83,Squig #83,OG,,Yellow Boom,70,Purple Elf,85,Squig Elf,80,Purple Transparent Shirt,100,Open,70,Triple Lashes,65,Pomade,110,None,0,580,580,200,780,575,1928,OG
84,Squig #84,OG,,Grey Boom,70,Green Elf,85,Squig Elf,80,White Army Tee,95,Neutral,65,Angry Triple,75,Brown Hair Bandana,95,None,0,565,565,200,765,778,2713,OG
85,Squig #85,OG,,Sky,80,Purple,80,Squig,75,Black Suit,95,Blue Tongue,85,Sleepy Triple,75,Blonde Hair Bandana,90,None,0,580,580,200,780,575,1928,OG
86,Squig #86,OG,,Grey,60,Dark Brown Elf,80,Squig Elf,80,Pink Hoodie,85,Open,70,Cyclops Lashes,65,3D,110,None,0,550,550,200,750,1004,3487,OG
87,Squig #87,OG,,Green Splash,70,Purple,80,Squig,75,Cowboy Red,90,Sad,70,Angry Triple,75,Yellow Punk,85,None,0,545,545,200,745,1066,3709,OG
88,Squig #88,OG,,Grey Boom,70,Dark Brown,70,Squig,75,Black Sweat,80,Smile,70,Cyclops,65,Afro Blonde,95,None,0,525,525,200,725,1244,4335,OG
89,Squig #89,OG,,Orange,60,Brown Elf,80,Squig Elf,80,Black Hoodie,85,Toothless,75,Triple Lashes,65,Lemon Sunhat,105,None,0,550,550,200,750,1004,3487,OG
90,Squig #90,OG,,Yellow Boom,70,Beige,70,Squig,75,Dog Tank,85,Tongue,80,Cyclops Lashes,65,Black Backwards Cap,95,None,0,540,540,200,740,1131,3927,OG
91,Squig #91,OG,,Orange,60,Green,80,Squig,75,Green Tee,85,Tongue,80,Cyclops,65,Grey Boom Bucket,105,Sad Necklace,35,585,585,200,785,522,1724,OG
92,Squig #92,OG,,Green Boom,70,Robot,105,Robot,120,Black Tee Yellow Bandana,90,Gold Duck,110,Triple Lashes,65,Yellow Bowl,85,None,0,645,645,200,845,63,145,OG
93,Squig #93,OG,,Light Blue Boom,70,Beige,70,Squig,75,White Tee,85,Oh,70,Triple,65,Pink Bowl,85,None,0,520,520,200,720,1262,4391,OG
94,Squig #94,OG,,Light Blue Splash,70,Green Elf,85,Squig Elf,80,Baseball Jersey Blue,90,Tongue,80,Cyclops,65,Bald,95,None,0,565,565,200,765,778,2713,OG
95,Squig #95,OG,,Grey Splash,70,Purple,80,Squig,75,Black Tee Yellow Bandana,90,Oh,70,Angry Triple,75,Afro Brown,100,Nouns Glasses,45,605,605,200,805,303,962,OG
96,Squig #96,OG,,Light Blue Portal,85,Green Elf,85,Squig Elf,80,White Tee,85,Sad,70,Triple Lashes,65,Yellow Punk,85,None,0,555,555,200,755,933,3233,OG
97,Squig #97,OG,,Pink Boom,70,Green,80,Squig,75,Green Polo,90,Open,70,Cyclops Lashes,65,Yellow Bowl,85,Gold Earring,20,555,555,200,755,933,3233,OG
98,Squig #98,OG,,Yellow Portal,85,Amphibian Red,105,Amphibian,110,Pink Hoodie,85,Afraid,70,Angry Cyclops Lashes,75,Purple Punk,90,None,0,620,620,200,820,183,517,OG
99,Squig #99,OG,,Purple,60,Amphibian Purple,105,Amphibian,110,Brown Suit,100,Mustache,85,Triple Lashes,65,White Bowl,95,None,0,620,620,200,820,183,517,OG
100,Squig #100,OG,,Grey,60,Robot,105,Robot,120,Diving Suit,105,Oh,70,Triple,65,Yellow Bowl,85,None,0,610,610,200,810,269,810,OG
101,Squig #101,OG,,Light Blue Boom,70,Dark Brown,70,Squig,75,Blue Overalls,90,Giant Tongue,90,Angry Cyclops,70,Black Backwards Cap,95,None,0,560,560,200,760,856,2969,OG
102,Squig #102,OG,,Light Blue,60,Brown,70,Squig,75,Varsity Green,95,Tongue,80,Triple Lashes,65,Pink Ugly Cap,95,Gold Earring,20,560,560,200,760,856,2969,OG
103,Squig #103,OG,,Light Blue,60,Dark Zombie,95,Zombie,110,Baseball Jersey Blue,90,Giant Tongue,90,Angry Cyclops,70,Nurse,95,None,0,610,610,200,810,269,810,OG
104,Squig #104,OG,,Purple,60,Green,80,Squig,75,Varsity Green,95,Afraid,70,Cyclops Lashes,65,Pomade,110,None,0,555,555,200,755,933,3233,OG
105,Squig #105,OG,,Purple,60,Dark Brown,70,Squig,75,Black Tee Yellow Bandana,90,Gold Digger,100,Angry Triple,75,White Cowboy,105,Gold Earring,20,595,595,200,795,413,1327,OG
106,Squig #106,OG,,Green Boom,70,Dark Brown,70,Squig,75,Ugly Hockey Jersey,100,Giant Iridescent Tongue,100,Sleepy Triple,75,Blonde Pigtails,95,None,0,585,585,200,785,522,1724,OG
107,Squig #107,OG,,Light Blue Splash,70,Green,80,Squig,75,Fastfood Shirt,100,Open,70,Cyclops Lashes,65,Pink Beanie,95,Gold Earring,20,575,575,200,775,650,2189,OG
108,Squig #108,OG,,Grey,60,Dark Brown,70,Squig,75,Black Hoodie,85,Open,70,Sleepy Triple,75,Bow,90,None,0,525,525,200,725,1244,4335,OG
109,Squig #109,OG,,Green,60,Dark Brown,70,Squig,75,Ugly Side of the Moon,105,Afraid,70,Angry Triple,75,Umbrella Hat,120,Sad Necklace,35,610,610,200,810,269,810,OG
110,Squig #110,OG,,Purple,60,Brown,70,Squig,75,Black Sweat,80,Sewn,90,Eye Patch,90,Skate Pink,110,Weed Necklace,40,615,615,200,815,220,658,OG
111,Squig #111,OG,,Pink,60,Green Elf,85,Squig Elf,80,Purple Transparent Shirt,100,Oh,70,Sleepy Triple,75,Blindfoil,120,None,0,590,590,200,790,471,1522,OG
112,Squig #112,OG,,Purple,60,Purple,80,Squig,75,Black Tank,80,Open,70,Cyclops Lashes,65,Blonde Pigtails,95,Sad Necklace,35,560,560,200,760,856,2969,OG
113,Squig #113,OG,,Purple Boom,70,Dark Brown,70,Squig,75,Purple Tee,80,Oh,70,Triple Lashes,65,Green Cap,90,Gold Earring,20,540,540,200,740,1131,3927,OG
114,Squig #114,OG,,Light Blue Splash,70,Beige,70,Squig,75,Black Tank,80,Blue Tongue,85,Angry Triple,75,Blonde Hair Bandana,90,None,0,545,545,200,745,1066,3709,OG
115,Squig #115,OG,,Yellow,60,Purple,80,Squig,75,Multi Overalls,90,Tongue,80,Angry Triple,75,Blonde Pigtails,95,Monocle,40,595,595,200,795,413,1327,OG
116,Squig #116,OG,,Light Blue Boom,70,Dark Robot,110,Robot,120,White Sweat,90,Sad,70,Triple,65,Pink Bowl,85,None,0,610,610,200,810,269,810,OG
117,Squig #117,OG,,Purple,60,Amphibian Green,110,Amphibian,110,Fishnet,100,Smile,70,Angry Triple Lashes,75,Crown,110,None,0,635,635,200,835,93,249,OG
118,Squig #118,OG,,Purple Boom,70,Gold,105,Squig,75,Born Ugly Tank Yellow,90,Smile,70,Cyclops Lashes,65,Purr Paw,110,None,0,585,585,200,785,522,1724,OG
119,Squig #119,OG,,Yellow,60,Brown Elf,80,Squig Elf,80,Purple Tee,80,Open,70,Bionic Lashes,80,Mono Pigtail,105,Green Laser,50,605,605,200,805,303,962,OG
120,Squig #120,OG,,Green Splash,70,Beige,70,Squig,75,Prison,90,Open,70,Triple,65,Pink Ugly Cap,95,Smile Necklace,30,565,565,200,765,778,2713,OG
121,Squig #121,OG,,Pink,60,Brown Elf,80,Squig Elf,80,Black Hoodie,85,Smile,70,Cyclops Lashes,65,Space Brain,120,None,0,560,560,200,760,856,2969,OG
122,Squig #122,OG,,Grey Portal,80,Gold,105,Squig,75,Anti GM GM Club Tee,100,Neutral,65,Cyclops,65,Pink Sunhat,90,None,0,580,580,200,780,575,1928,OG
123,Squig #123,OG,,Orange Splash,70,Brown,70,Squig,75,Born Ugly Tank Yellow,90,Neutral,65,Triple Lashes,65,Headphones,105,None,0,540,540,200,740,1131,3927,OG
124,Squig #124,OG,,Green,60,Beige Elf,80,Squig Elf,80,Varisty Blue,90,Sad,70,Triple Lashes,65,Jason,130,None,0,575,575,200,775,650,2189,OG
125,Squig #125,OG,,Pink,60,Purple Elf,85,Squig Elf,80,Purple Hoodie,85,Sad,70,Cyclops Lashes,65,Knife,115,Piranha,50,610,610,200,810,269,810,OG
126,Squig #126,OG,,Grey,60,Purple Elf,85,Squig Elf,80,Black Tee Yellow Bandana,90,Neutral,65,Triple Lashes,65,Grey Boom Bucket,105,None,0,550,550,200,750,1004,3487,OG
127,Squig #127,OG,,Orange Splash,70,Purple Elf,85,Squig Elf,80,Purple Tee,80,Revive Pill,95,Triple,65,Beer Bucket,115,None,0,590,590,200,790,471,1522,OG
128,Squig #128,OG,,Sky,80,Brown Elf,80,Squig Elf,80,White Tank,80,Neutral,65,Anger Cyclops,75,Parted,95,None,0,555,555,200,755,933,3233,OG
129,Squig #129,OG,,Purple,60,Dark Brown Elf,80,Squig Elf,80,Naked,90,Toothless,75,Angry Triple,75,Yellow Bowl,85,None,0,545,545,200,745,1066,3709,OG
130,Squig #130,OG,,Yellow Boom,70,Green Elf,85,Squig Elf,80,Black Tee,85,Sad,70,Triple Lashes,65,Pink Cowboy,100,None,0,555,555,200,755,933,3233,OG
131,Squig #131,OG,,Pink,60,Brown,70,Squig,75,Baseball Jersey Red,90,Sewn,90,Triple,65,Blonde Hair Bandana,90,Ugly Necklace,40,580,580,200,780,575,1928,OG
132,Squig #132,OG,,Light Blue,60,Purple Elf,85,Squig Elf,80,Black Tee,85,Afraid,70,Angry Cyclops Lashes,75,Pink Beanie,95,None,0,550,550,200,750,1004,3487,OG
133,Squig #133,OG,,Purple,60,Beige,70,Squig,75,Black Hoodie,85,Sad,70,Angry Cyclops Lashes,75,Brown Pigtails,95,None,0,530,530,200,730,1225,4255,OG
134,Squig #134,OG,,Grey Splash,70,Green,80,Squig,75,Green Polo,90,Smile,70,Triple,65,Afro Brown,100,None,0,550,550,200,750,1004,3487,OG
135,Squig #135,OG,,Light Blue Splash,70,Amphibian Red,105,Amphibian,110,Black Sweat,80,Sad,70,Triple Lashes,65,Green Ugly Cap,85,None,0,585,585,200,785,522,1724,OG
136,Squig #136,OG,,Green,60,Dark Brown Elf,80,Squig Elf,80,White Army Tee,95,Sad,70,Triple,65,White Cowboy,105,Dino,45,600,600,200,800,356,1127,OG
137,Squig #137,OG,,Green Splash,70,Beige,70,Squig,75,Black Tee Yellow Bandana,90,Mustache,85,Triple,65,Pink Sunhat,90,None,0,545,545,200,745,1066,3709,OG
138,Squig #138,OG,,Portal,95,Brown,70,Squig,75,Black Jacket,90,Open,70,Angry Cyclops,70,3D,110,E cigarette,55,635,635,200,835,93,249,OG
139,Squig #139,OG,,Yellow,60,Purple Elf,85,Squig Elf,80,White Tank,80,Neutral,65,Anger Cyclops,75,Gold Bow,120,Sad Necklace,35,600,600,200,800,356,1127,OG
140,Squig #140,OG,,Light Blue Boom,70,Purple Elf,85,Squig Elf,80,Born Ugly Tee,85,Smile,70,Triple,65,Black Backwards Cap,95,Ugly Necklace,40,590,590,200,790,471,1522,OG
141,Squig #141,OG,,Pink Splash,70,Dark Brown,70,Squig,75,Army Tee,95,Smile,70,Anger Cyclops,75,Sheriff,140,None,0,595,595,200,795,413,1327,OG
142,Squig #142,OG,,Pink,60,Green Elf,85,Squig Elf,80,Purple Transparent Shirt,100,Neutral,65,Cyclops Lashes,65,Pomade,110,None,0,565,565,200,765,778,2713,OG
143,Squig #143,OG,,Green Splash,70,Dark Brown,70,Squig,75,Green White Polo,90,Sewn,90,Cyclops Lashes,65,Brown Hair Bandana,95,Multi Earring,25,580,580,200,780,575,1928,OG
144,Squig #144,OG,,Light Blue Splash,70,Green,80,Squig,75,Varsity Green,95,Blue Tongue,85,Surgery Lashes,85,Purple Punk,90,None,0,580,580,200,780,575,1928,OG
145,Squig #145,OG,,Purple Splash,70,Green Elf,85,Squig Elf,80,Purple Hoodie,85,Blue Tongue,85,Triple Lashes,65,Donuts,125,None,0,595,595,200,795,413,1327,OG
146,Squig #146,OG,,Light Blue Boom,70,Brown,70,Squig,75,Born Ugly Tee,85,Afraid,70,Angry Cyclops Lashes,75,Robber Mask,140,None,0,585,585,200,785,522,1724,OG
147,Squig #147,OG,Pikachugly,,0,,0,,0,,0,,0,,0,,0,,0,0,1000,200,1200,1,1,OG Legendary
