tokenID,name,description,file_name,attributes[Background],attributes[Skin],attributes[Type],attributes[Status],attributes[Body],attributes[Mouth],attributes[Eyes],attributes[Head],attributes[Special],attributes[Legend]
72,Squig #72,"4,444 Creatures from another world come to observe and imitate Humans.",72.png,Grey Portal,Green,Squig,OG,Blue Puffy,Open,Triple,Pomade,Gold Earring,
73,Squig #73,"4,444 Creatures from another world come to observe and imitate Humans.",73.png,Yellow Splash,Beige Elf,Squig Elf,OG,Fast Food Hoodie,Sad,Triple Lashes,Mono Pigtail,None,
74,Squig #74,"4,444 Creatures from another world come to observe and imitate Humans.",74.png,Green Splash,Green,Squig,OG,White Sweat,Toothless,Suspect Cyclops,Ice Cream,None,
75,Squig #75,"4,444 Creatures from another world come to observe and imitate Humans.",75.png,Green,Brown Elf,Squig Elf,OG,Naked,Afraid,Triple,'67 Hockey Helmet,Laser Tits,
76,Squig #76,"4,444 Creatures from another world come to observe and imitate Humans.",76.png,Grey Splash,Green,Squig,OG,Blue Overalls,Ugly Candy,Angry Triple,Dennis Pink,None,
77,Squig #77,"4,444 Creatures from another world come to observe and imitate Humans.",77.png,Orange Boom,Green,Squig,OG,Blue Puffy,Oh,Angry Cyclops,Watermelon Bucket,None,
78,Squig #78,"4,444 Creatures from another world come to observe and imitate Humans.",78.png,Grey Splash,Brown,Squig,OG,Black Tank,Open,Suspect Cyclops,Pink Sunhat,Smile Necklace,
79,Squig #79,"4,444 Creatures from another world come to observe and imitate Humans.",79.png,Light Blue Splash,Purple Elf,Squig Elf,OG,Fastfood Shirt,Mustache,Triple,Brain Bucket,Parakeet,
80,Squig #80,"4,444 Creatures from another world come to observe and imitate Humans.",80.png,Purple Boom,Brown,Squig,OG,Borat,Oh,Bionic Lashes,Pink Ugly Cap,Yellow Laser,
81,Squig #81,"4,444 Creatures from another world come to observe and imitate Humans.",81.png,Light Blue,Purple,Squig,OG,Super Ugly,Sad,Angry Triple Lashes,3D,None,
82,Squig #82,"4,444 Creatures from another world come to observe and imitate Humans.",82.png,Orange,Beige Elf,Squig Elf,OG,Fastfood Shirt,Open,Angry Triple,Black Cap,Monocle,
83,Squig #83,"4,444 Creatures from another world come to observe and imitate Humans.",83.png,Yellow Boom,Purple Elf,Squig Elf,OG,Purple Transparent Shirt,Open,Triple Lashes,Pomade,None,
84,Squig #84,"4,444 Creatures from another world come to observe and imitate Humans.",84.png,Grey Boom,Green Elf,Squig Elf,OG,White Army Tee,Neutral,Angry Triple,Brown Hair Bandana,None,
85,Squig #85,"4,444 Creatures from another world come to observe and imitate Humans.",85.png,Sky,Purple,Squig,OG,Black Suit,Blue Tongue,Sleepy Triple,Blonde Hair Bandana,None,
86,Squig #86,"4,444 Creatures from another world come to observe and imitate Humans.",86.png,Grey,Dark Brown Elf,Squig Elf,OG,Pink Hoodie,Open,Cyclops Lashes,3D,None,
87,Squig #87,"4,444 Creatures from another world come to observe and imitate Humans.",87.png,Green Splash,Purple,Squig,OG,Cowboy Red,Sad,Angry Triple,Yellow Punk,None,
88,Squig #88,"4,444 Creatures from another world come to observe and imitate Humans.",88.png,Grey Boom,Dark Brown,Squig,OG,Black Sweat,Smile,Cyclops,Afro Blonde,None,
89,Squig #89,"4,444 Creatures from another world come to observe and imitate Humans.",89.png,Orange,Brown Elf,Squig Elf,OG,Black Hoodie,Toothless,Triple Lashes,Lemon Sunhat,None,
90,Squig #90,"4,444 Creatures from another world come to observe and imitate Humans.",90.png,Yellow Boom,Beige,Squig,OG,Dog Tank,Tongue,Cyclops Lashes,Black Backwards Cap,None,
91,Squig #91,"4,444 Creatures from another world come to observe and imitate Humans.",91.png,Orange,Green,Squig,OG,Green Tee,Tongue,Cyclops,Grey Boom Bucket,Sad Necklace,
92,Squig #92,"4,444 Creatures from another world come to observe and imitate Humans.",92.png,Green Boom,Robot,Robot,OG,Black Tee Yellow Bandana,Gold Duck,Triple Lashes,Yellow Bowl,None,
93,Squig #93,"4,444 Creatures from another world come to observe and imitate Humans.",93.png,Light Blue Boom,Beige,Squig,OG,White Tee,Oh,Triple,Pink Bowl,None,
94,Squig #94,"4,444 Creatures from another world come to observe and imitate Humans.",94.png,Light Blue Splash,Green Elf,Squig Elf,OG,Baseball Jersey Blue,Tongue,Cyclops,Bald,None,
95,Squig #95,"4,444 Creatures from another world come to observe and imitate Humans.",95.png,Grey Splash,Purple,Squig,OG,Black Tee Yellow Bandana,Oh,Angry Triple,Afro Brown,Nouns Glasses,
96,Squig #96,"4,444 Creatures from another world come to observe and imitate Humans.",96.png,Light Blue Portal,Green Elf,Squig Elf,OG,White Tee,Sad,Triple Lashes,Yellow Punk,None,
97,Squig #97,"4,444 Creatures from another world come to observe and imitate Humans.",97.png,Pink Boom,Green,Squig,OG,Green Polo,Open,Cyclops Lashes,Yellow Bowl,Gold Earring,
98,Squig #98,"4,444 Creatures from another world come to observe and imitate Humans.",98.png,Yellow Portal,Amphibian Red,Amphibian,OG,Pink Hoodie,Afraid,Angry Cyclops Lashes,Purple Punk,None,
99,Squig #99,"4,444 Creatures from another world come to observe and imitate Humans.",99.png,Purple,Amphibian Purple,Amphibian,OG,Brown Suit,Mustache,Triple Lashes,White Bowl,None,
100,Squig #100,"4,444 Creatures from another world come to observe and imitate Humans.",100.png,Grey,Robot,Robot,OG,"Diving Suit
",Oh,Triple,Yellow Bowl,None,
101,Squig #101,"4,444 Creatures from another world come to observe and imitate Humans.",101.png,Light Blue Boom,Dark Brown,Squig,OG,Blue Overalls,Giant Tongue,Angry Cyclops,Black Backwards Cap,None,
102,Squig #102,"4,444 Creatures from another world come to observe and imitate Humans.",102.png,Light Blue,Brown,Squig,OG,Varsity Green,Tongue,Triple Lashes,Pink Ugly Cap,Gold Earring,
103,Squig #103,"4,444 Creatures from another world come to observe and imitate Humans.",103.png,Light Blue,Dark Zombie,Zombie,OG,Baseball Jersey Blue,Giant Tongue,Angry Cyclops,Nurse,None,
104,Squig #104,"4,444 Creatures from another world come to observe and imitate Humans.",104.png,Purple,Green,Squig,OG,Varsity Green,Afraid,Cyclops Lashes,Pomade,None,
105,Squig #105,"4,444 Creatures from another world come to observe and imitate Humans.",105.png,Purple,Dark Brown,Squig,OG,Black Tee Yellow Bandana,Gold Digger,Angry Triple,White Cowboy,Gold Earring,
106,Squig #106,"4,444 Creatures from another world come to observe and imitate Humans.",106.png,Green Boom,Dark Brown,Squig,OG,Ugly Hockey Jersey,Giant Iridescent Tongue,Sleepy Triple,Blonde Pigtails,None,
107,Squig #107,"4,444 Creatures from another world come to observe and imitate Humans.",107.png,Light Blue Splash,Green,Squig,OG,Fastfood Shirt,Open,Cyclops Lashes,Pink Beanie,Gold Earring,
108,Squig #108,"4,444 Creatures from another world come to observe and imitate Humans.",108.png,Grey,Dark Brown,Squig,OG,Black Hoodie,Open,Sleepy Triple,Bow,None,
109,Squig #109,"4,444 Creatures from another world come to observe and imitate Humans.",109.png,Green,Dark Brown,Squig,OG,Ugly Side of the Moon,Afraid,Angry Triple,Umbrella Hat,Sad Necklace,
110,Squig #110,"4,444 Creatures from another world come to observe and imitate Humans.",110.png,Purple,Brown,Squig,OG,Black Sweat,Sewn,Eye Patch,Skate Pink,Weed Necklace,
111,Squig #111,"4,444 Creatures from another world come to observe and imitate Humans.",111.png,Pink,Green Elf,Squig Elf,OG,Purple Transparent Shirt,Oh,Sleepy Triple,Blindfoil,None,
112,Squig #112,"4,444 Creatures from another world come to observe and imitate Humans.",112.png,Purple,Purple,Squig,OG,Black Tank,Open,Cyclops Lashes,Blonde Pigtails,Sad Necklace,
113,Squig #113,"4,444 Creatures from another world come to observe and imitate Humans.",113.png,Purple Boom,Dark Brown,Squig,OG,Purple Tee,Oh,Triple Lashes,Green Cap,Gold Earring,
114,Squig #114,"4,444 Creatures from another world come to observe and imitate Humans.",114.png,Light Blue Splash,Beige,Squig,OG,Black Tank,Blue Tongue,Angry Triple,Blonde Hair Bandana,None,
115,Squig #115,"4,444 Creatures from another world come to observe and imitate Humans.",115.png,Yellow,Purple,Squig,OG,Multi Overalls,Tongue,Angry Triple,Blonde Pigtails,Monocle,
116,Squig #116,"4,444 Creatures from another world come to observe and imitate Humans.",116.png,Light Blue Boom,Dark Robot,Robot,OG,White Sweat,Sad,Triple,Pink Bowl,None,
117,Squig #117,"4,444 Creatures from another world come to observe and imitate Humans.",117.png,Purple,Amphibian Green,Amphibian,OG,Fishnet,Smile,Angry Triple Lashes,Crown,None,
118,Squig #118,"4,444 Creatures from another world come to observe and imitate Humans.",118.png,Purple Boom,Gold,Squig,OG,Born Ugly Tank Yellow,Smile,Cyclops Lashes,Purr Paw,None,
119,Squig #119,"4,444 Creatures from another world come to observe and imitate Humans.",119.png,Yellow,Brown Elf,Squig Elf,OG,Purple Tee,Open,Bionic Lashes,Mono Pigtail,Green Laser,
120,Squig #120,"4,444 Creatures from another world come to observe and imitate Humans.",120.png,Green Splash,Beige,Squig,OG,Prison,Open,Triple,Pink Ugly Cap,Smile Necklace,
121,Squig #121,"4,444 Creatures from another world come to observe and imitate Humans.",121.png,Pink,Brown Elf,Squig Elf,OG,Black Hoodie,Smile,Cyclops Lashes,Space Brain,None,
122,Squig #122,"4,444 Creatures from another world come to observe and imitate Humans.",122.png,Grey Portal,Gold,Squig,OG,Anti GM GM Club Tee,Neutral,Cyclops,Pink Sunhat,None,
123,Squig #123,"4,444 Creatures from another world come to observe and imitate Humans.",123.png,Orange Splash,Brown,Squig,OG,Born Ugly Tank Yellow,Neutral,Triple Lashes,Headphones,None,
124,Squig #124,"4,444 Creatures from another world come to observe and imitate Humans.",124.png,Green,Beige Elf,Squig Elf,OG,Varisty Blue,Sad,Triple Lashes,Jason,None,
125,Squig #125,"4,444 Creatures from another world come to observe and imitate Humans.",125.png,Pink,Purple Elf,Squig Elf,OG,Purple Hoodie,Sad,Cyclops Lashes,Knife,Piranha,
126,Squig #126,"4,444 Creatures from another world come to observe and imitate Humans.",126.png,Grey,Purple Elf,Squig Elf,OG,Black Tee Yellow Bandana,Neutral,Triple Lashes,Grey Boom Bucket,None,
127,Squig #127,"4,444 Creatures from another world come to observe and imitate Humans.",127.png,Orange Splash,Purple Elf,Squig Elf,OG,Purple Tee,Revive Pill,Triple,Beer Bucket,None,
128,Squig #128,"4,444 Creatures from another world come to observe and imitate Humans.",128.png,Sky,Brown Elf,Squig Elf,OG,White Tank,Neutral,Anger Cyclops,Parted,None,
129,Squig #129,"4,444 Creatures from another world come to observe and imitate Humans.",129.png,Purple,Dark Brown Elf,Squig Elf,OG,Naked,Toothless,Angry Triple,Yellow Bowl,None,
130,Squig #130,"4,444 Creatures from another world come to observe and imitate Humans.",130.png,Yellow Boom,Green Elf,Squig Elf,OG,Black Tee,Sad,Triple Lashes,Pink Cowboy,None,
131,Squig #131,"4,444 Creatures from another world come to observe and imitate Humans.",131.png,Pink,Brown,Squig,OG,Baseball Jersey Red,Sewn,Triple,Blonde Hair Bandana,Ugly Necklace,
132,Squig #132,"4,444 Creatures from another world come to observe and imitate Humans.",132.png,Light Blue,Purple Elf,Squig Elf,OG,Black Tee,Afraid,Angry Cyclops Lashes,Pink Beanie,None,
133,Squig #133,"4,444 Creatures from another world come to observe and imitate Humans.",133.png,Purple,Beige,Squig,OG,Black Hoodie,Sad,Angry Cyclops Lashes,Brown Pigtails,None,
134,Squig #134,"4,444 Creatures from another world come to observe and imitate Humans.",134.png,Grey Splash,Green,Squig,OG,Green Polo,Smile,Triple,Afro Brown,None,
135,Squig #135,"4,444 Creatures from another world come to observe and imitate Humans.",135.png,Light Blue Splash,Amphibian Red,Amphibian,OG,Black Sweat,Sad,Triple Lashes,Green Ugly Cap,None,
136,Squig #136,"4,444 Creatures from another world come to observe and imitate Humans.",136.png,Green,Dark Brown Elf,Squig Elf,OG,White Army Tee,Sad,Triple,White Cowboy,Dino,
137,Squig #137,"4,444 Creatures from another world come to observe and imitate Humans.",137.png,Green Splash,Beige,Squig,OG,Black Tee Yellow Bandana,Mustache,Triple,Pink Sunhat,None,
138,Squig #138,"4,444 Creatures from another world come to observe and imitate Humans.",138.png,Portal,Brown,Squig,OG,Black Jacket,Open,Angry Cyclops,3D,E cigarette,
139,Squig #139,"4,444 Creatures from another world come to observe and imitate Humans.",139.png,Yellow,Purple Elf,Squig Elf,OG,White Tank,Neutral,Anger Cyclops,Gold Bow,Sad Necklace,
140,Squig #140,"4,444 Creatures from another world come to observe and imitate Humans.",140.png,Light Blue Boom,Purple Elf,Squig Elf,OG,Born Ugly Tee,Smile,Triple,Black Backwards Cap,Ugly Necklace,
141,Squig #141,"4,444 Creatures from another world come to observe and imitate Humans.",141.png,Pink Splash,Dark Brown,Squig,OG,Army Tee,Smile,Anger Cyclops,Sheriff,None,
142,Squig #142,"4,444 Creatures from another world come to observe and imitate Humans.",142.png,Pink,Green Elf,Squig Elf,OG,Purple Transparent Shirt,Neutral,Cyclops Lashes,Pomade,None,
143,Squig #143,"4,444 Creatures from another world come to observe and imitate Humans.",143.png,Green Splash,Dark Brown,Squig,OG,Green White Polo,Sewn,Cyclops Lashes,Brown Hair Bandana,Multi Earring,
144,Squig #144,"4,444 Creatures from another world come to observe and imitate Humans.",144.png,Light Blue Splash,Green,Squig,OG,Varsity Green,Blue Tongue,Surgery Lashes,Purple Punk,None,
145,Squig #145,"4,444 Creatures from another world come to observe and imitate Humans.",145.png,Purple Splash,Green Elf,Squig Elf,OG,Purple Hoodie,Blue Tongue,Triple Lashes,Donuts,None,
146,Squig #146,"4,444 Creatures from another world come to observe and imitate Humans.",146.png,Light Blue Boom,Brown,Squig,OG,Born Ugly Tee,Afraid,Angry Cyclops Lashes,Robber Mask,None,
147,Squig #147,"4,444 Creatures from another world come to observe and imitate Humans.",147.png,,,,OG,,,,,,Pikachugly
148,Squig #148,"4,444 Creatures from another world come to observe and imitate Humans.",148.png,Light Blue Splash,Dark Brown Elf,Squig Elf,OG,Born Ugly Tee,Mustache,Cyclops,Mountie,None,
149,Squig #149,"4,444 Creatures from another world come to observe and imitate Humans.",149.png,Purple,Green Elf,Squig Elf,OG,Chain,Toothless,Suspect Cyclops,Yellow Punk,None,
150,Squig #150,"4,444 Creatures from another world come to observe and imitate Humans.",150.png,Purple Boom,Dark Brown,Squig,OG,Blue Overalls,Toothless,Cyclops,Pink Bowl,Blunt,
151,Squig #151,"4,444 Creatures from another world come to observe and imitate Humans.",151.png,Pink Splash,Brown,Squig,OG,Purple Tee,Oh,Suspect Cyclops,Blonde Pigtails,None,
152,Squig #152,"4,444 Creatures from another world come to observe and imitate Humans.",152.png,Pink,Brown Elf,Squig Elf,OG,White Suit,Sad,Cyclops,Green Ugly Cap,None,
153,Squig #153,"4,444 Creatures from another world come to observe and imitate Humans.",153.png,Green Portal,Amphibian Green,Amphibian,OG,Green Polo,Mustache,Triple,Nurse,None,
